Order ID,Order Date,Customer ID,Customer Name,Region,Segment,Product,Category,Quantity,Unit Price,Discount,Sales,Cost,Profit,Month,Profit Margin
ORD0067,2025-01-01,CUST003,Customer 003,North,Corporate,Mouse,Accessories,2,1080.0,0.05,2052.0,1422.57,629.43,Jan-2025,0.3067397660818713
ORD0022,2025-01-02,CUST002,Customer 002,South,Consumer,Keyboard,Accessories,3,1841.0,0.15,4694.55,3372.24,1322.31,Jan-2025,0.28166916956896826
ORD0217,2025-01-03,CUST021,Customer 021,North,Consumer,Printer,Electronics,4,16625.0,0.15,56525.0,45796.7,10728.3,Jan-2025,0.189797434763379
ORD0075,2025-01-05,CUST055,Customer 055,North,Corporate,Keyboard,Accessories,2,3064.0,0.15,5208.8,3667.34,1541.46,Jan-2025,0.2959338043311319
ORD0098,2025-01-06,CUST002,Customer 002,West,Corporate,Mouse,Accessories,3,1639.0,0.1,4425.3,3191.81,1233.49,Jan-2025,0.27873590491040157
ORD0036,2025-01-06,CUST035,Customer 035,East,Consumer,Headphones,Accessories,1,4749.0,0.05,4511.55,3765.63,745.92,Jan-2025,0.1653356385277787
ORD0029,2025-01-09,CUST041,Customer 041,North,Small Business,Keyboard,Accessories,4,3147.0,0.1,11329.2,8437.1,2892.1,Jan-2025,0.2552783956501783
ORD0206,2025-01-12,CUST042,Customer 042,South,Consumer,Keyboard,Accessories,2,3420.0,0.0,6840.0,5692.86,1147.14,Jan-2025,0.16771052631578948
ORD0191,2025-01-12,CUST013,Customer 013,West,Consumer,Mouse,Accessories,3,863.0,0.15,2200.65,1615.06,585.59,Jan-2025,0.2660986526708018
ORD0054,2025-01-12,CUST031,Customer 031,West,Consumer,Keyboard,Accessories,1,1417.0,0.1,1275.3,881.73,393.57,Jan-2025,0.30860973888496823
ORD0149,2025-01-14,CUST031,Customer 031,West,Corporate,Keyboard,Accessories,4,1477.0,0.0,5908.0,4675.63,1232.37,Jan-2025,0.20859343263371696
ORD0109,2025-01-15,CUST047,Customer 047,North,Consumer,Mouse,Accessories,4,1490.0,0.05,5662.0,4753.99,908.01,Jan-2025,0.1603691275167785
ORD0195,2025-01-20,CUST060,Customer 060,South,Corporate,Laptop,Electronics,1,62710.0,0.05,59574.5,40790.85,18783.65,Jan-2025,0.31529681323385006
ORD0177,2025-01-21,CUST047,Customer 047,East,Consumer,Keyboard,Accessories,3,3418.0,0.1,9228.6,6928.54,2300.06,Jan-2025,0.24923173612465593
ORD0219,2025-01-21,CUST023,Customer 023,East,Small Business,Keyboard,Accessories,4,2689.0,0.1,9680.4,6959.79,2720.61,Jan-2025,0.28104313871327635
ORD0190,2025-01-22,CUST026,Customer 026,South,Small Business,Mouse,Accessories,3,1232.0,0.1,3326.4,2305.4,1021.0,Jan-2025,0.30693843193843195
ORD0225,2025-01-26,CUST009,Customer 009,West,Consumer,Headphones,Accessories,4,2939.0,0.1,10580.4,8718.29,1862.11,Jan-2025,0.1759961816188424
ORD0233,2025-01-27,CUST032,Customer 032,South,Small Business,Mouse,Accessories,2,1311.0,0.1,2359.8,1691.82,667.98,Jan-2025,0.28306636155606407
ORD0221,2025-01-27,CUST029,Customer 029,South,Consumer,Tablet,Electronics,3,27876.0,0.0,83628.0,66469.35,17158.65,Jan-2025,0.20517828956808726
ORD0180,2025-01-27,CUST046,Customer 046,West,Corporate,Mouse,Accessories,3,1351.0,0.0,4053.0,2777.13,1275.87,Jan-2025,0.31479644707623977
ORD0200,2025-01-28,CUST002,Customer 002,North,Small Business,Printer,Electronics,1,11927.0,0.1,10734.3,7524.1,3210.2,Jan-2025,0.29906002254455344
ORD0174,2025-01-29,CUST011,Customer 011,South,Corporate,Tablet,Electronics,3,26307.0,0.1,71028.9,56065.05,14963.85,Jan-2025,0.2106726980144702
ORD0168,2025-01-31,CUST023,Customer 023,West,Corporate,Laptop,Electronics,4,60027.0,0.1,216097.2,152504.46,63592.74,Jan-2025,0.29427840804971095
ORD0007,2025-02-04,CUST014,Customer 014,South,Corporate,Keyboard,Accessories,2,2724.0,0.0,5448.0,4157.97,1290.03,Feb-2025,0.2367896475770925
ORD0130,2025-02-05,CUST029,Customer 029,East,Corporate,Keyboard,Accessories,2,3294.0,0.05,6258.6,4592.18,1666.42,Feb-2025,0.266260825104656
ORD0103,2025-02-07,CUST055,Customer 055,South,Consumer,Tablet,Electronics,3,33802.0,0.1,91265.4,76152.24,15113.16,Feb-2025,0.16559572411888843
ORD0061,2025-02-08,CUST045,Customer 045,East,Consumer,Webcam,Accessories,2,2759.0,0.05,5242.1,3934.96,1307.14,Feb-2025,0.2493542664199462
ORD0015,2025-02-11,CUST060,Customer 060,West,Corporate,Laptop,Electronics,3,68436.0,0.05,195042.6,150207.01,44835.59,Feb-2025,0.2298758835249325
ORD0230,2025-02-11,CUST054,Customer 054,East,Corporate,Keyboard,Accessories,1,2793.0,0.15,2374.05,1663.12,710.93,Feb-2025,0.2994587308607653
ORD0095,2025-02-11,CUST041,Customer 041,North,Corporate,Keyboard,Accessories,4,2686.0,0.05,10206.8,7522.16,2684.64,Feb-2025,0.2630246502331779
ORD0085,2025-02-12,CUST048,Customer 048,South,Consumer,Keyboard,Accessories,3,1496.0,0.0,4488.0,3160.92,1327.08,Feb-2025,0.29569518716577536
ORD0138,2025-02-15,CUST002,Customer 002,North,Consumer,Monitor,Electronics,3,13844.0,0.0,41532.0,33365.05,8166.95,Feb-2025,0.19664234806895886
ORD0181,2025-02-15,CUST015,Customer 015,North,Corporate,Mouse,Accessories,2,1318.0,0.05,2504.2,1802.04,702.16,Feb-2025,0.2803929398610335
ORD0121,2025-02-18,CUST007,Customer 007,North,Consumer,Webcam,Accessories,1,3169.0,0.05,3010.55,2088.29,922.26,Feb-2025,0.30634269485642157
ORD0021,2025-02-21,CUST012,Customer 012,East,Consumer,Monitor,Electronics,2,19123.0,0.0,38246.0,32112.81,6133.19,Feb-2025,0.16036160644250377
ORD0159,2025-02-23,CUST047,Customer 047,South,Small Business,Monitor,Electronics,1,21278.0,0.15,18086.3,12801.9,5284.4,Feb-2025,0.29217695161531104
ORD0125,2025-02-24,CUST039,Customer 039,East,Small Business,Tablet,Electronics,2,22603.0,0.05,42945.7,32011.62,10934.08,Feb-2025,0.2546024398251746
ORD0178,2025-02-27,CUST060,Customer 060,West,Corporate,Headphones,Accessories,2,2246.0,0.0,4492.0,3522.93,969.07,Feb-2025,0.21573241317898487
ORD0038,2025-02-27,CUST003,Customer 003,East,Small Business,Mouse,Accessories,4,851.0,0.1,3063.6,2259.05,804.55,Feb-2025,0.26261587674631154
ORD0193,2025-02-28,CUST003,Customer 003,North,Small Business,Laptop,Electronics,3,65203.0,0.0,195609.0,133973.46,61635.54,Feb-2025,0.31509562443445854
ORD0146,2025-02-28,CUST026,Customer 026,East,Corporate,Laptop,Electronics,2,55591.0,0.1,100063.8,82856.8,17207.0,Feb-2025,0.171960289335404
ORD0013,2025-03-03,CUST024,Customer 024,North,Small Business,Headphones,Accessories,4,3731.0,0.1,13431.6,10148.3,3283.3,Mar-2025,0.24444593347032373
ORD0106,2025-03-03,CUST004,Customer 004,South,Small Business,Keyboard,Accessories,2,2103.0,0.1,3785.4,2840.04,945.36,Mar-2025,0.24973846885401807
ORD0099,2025-03-03,CUST057,Customer 057,South,Corporate,Headphones,Accessories,3,3501.0,0.0,10503.0,8435.16,2067.84,Mar-2025,0.1968808911739503
ORD0076,2025-03-04,CUST025,Customer 025,East,Consumer,Webcam,Accessories,3,5061.0,0.0,15183.0,10413.89,4769.11,Mar-2025,0.3141085424487914
ORD0032,2025-03-09,CUST033,Customer 033,North,Consumer,Mouse,Accessories,4,1496.0,0.05,5684.8,4638.09,1046.71,Mar-2025,0.18412433155080213
ORD0223,2025-03-12,CUST056,Customer 056,East,Corporate,Tablet,Electronics,1,22362.0,0.15,19007.7,14395.81,4611.89,Mar-2025,0.24263272252823856
ORD0171,2025-03-15,CUST041,Customer 041,South,Corporate,Webcam,Accessories,3,4265.0,0.0,12795.0,10243.57,2551.43,Mar-2025,0.19940836264165687
ORD0135,2025-03-16,CUST006,Customer 006,North,Consumer,Printer,Electronics,1,16335.0,0.05,15518.25,10719.2,4799.05,Mar-2025,0.3092520097304786
ORD0215,2025-03-17,CUST058,Customer 058,West,Consumer,Keyboard,Accessories,1,2075.0,0.05,1971.25,1528.58,442.67,Mar-2025,0.22456309448319595
ORD0136,2025-03-17,CUST023,Customer 023,West,Corporate,Laptop,Electronics,2,57053.0,0.15,96990.1,79514.66,17475.44,Mar-2025,0.18017756451431638
ORD0222,2025-03-18,CUST004,Customer 004,North,Small Business,Tablet,Electronics,2,21080.0,0.1,37944.0,26903.44,11040.56,Mar-2025,0.29096985030571365
ORD0229,2025-03-19,CUST013,Customer 013,South,Small Business,Mouse,Accessories,2,770.0,0.0,1540.0,1194.31,345.69,Mar-2025,0.22447402597402596
ORD0088,2025-03-19,CUST026,Customer 026,West,Corporate,Headphones,Accessories,1,1823.0,0.05,1731.85,1368.24,363.61,Mar-2025,0.20995467274879467
ORD0185,2025-03-21,CUST054,Customer 054,North,Corporate,Mouse,Accessories,4,1015.0,0.1,3654.0,3035.01,618.99,Mar-2025,0.1694006568144499
ORD0074,2025-03-23,CUST051,Customer 051,East,Consumer,Headphones,Accessories,3,4717.0,0.0,14151.0,11607.58,2543.42,Mar-2025,0.17973429439615576
